iter	Passed	Remaining
0	3429	3426019
1	5931	2959604
2	7932	2636355
3	10247	2551654
4	13916	2769308
5	21637	3584629
6	26843	3807915
7	36018	4466295
8	38113	4196699
9	40726	4031958
10	42907	3857770
11	45008	3705730
12	47445	3602214
13	49616	3494448
14	51852	3404976
15	53965	3318878
16	56276	3254101
17	61880	3375919
18	69609	3594058
19	76745	3760519
20	81302	3790248
21	86473	3844120
22	88874	3775249
23	91602	3725177
24	97266	3793388
25	102860	3853321
26	106484	3837368
27	109097	3787227
28	111544	3734806
29	113780	3678898
30	116009	3626235
31	118230	3576487
32	120432	3529043
33	122581	3482751
34	125071	3448413
35	127863	3423890
36	130020	3384049
37	131990	3341441
38	134046	3303042
39	136170	3268089
40	138439	3238136
41	140763	3210742
42	142931	3181050
43	144966	3149729
44	147157	3123019
45	149448	3099431
46	152266	3087447
47	154502	3064298
48	156646	3040215
49	159340	3027468
50	161429	3003852
51	163407	2979045
52	165553	2958091
53	167952	2942287
54	170775	2934232
55	172809	2913068
56	174764	2891284
57	176854	2872355
58	178965	2854348
59	181232	2839313
60	183790	2829166
61	185902	2812517
62	187946	2795327
63	190135	2780728
64	192391	2767482
65	194469	2752042
66	196492	2736231
67	198569	2721572
68	200581	2706400
69	202780	2694086
70	205003	2682364
71	207181	2670339
72	209237	2657029
73	211416	2645562
74	213772	2636532
75	215853	2624320
76	217998	2613147
77	220365	2604836
78	222310	2591749
79	224500	2581758
80	226790	2573093
81	229002	2563708
82	231036	2552538
83	233147	2542420
84	235149	2531309
85	237183	2520762
86	239295	2511223
87	241518	2503012
88	243908	2496640
89	246209	2489453
90	248188	2479157
91	250466	2472000
92	252645	2463969
93	254534	2453280
94	256635	2444793
95	258825	2437271
96	261126	2430895
97	263314	2423572
98	265487	2416200
99	267583	2408254
100	269551	2399272
101	272030	2394939
102	274187	2387823
103	276266	2380138
104	278488	2373784
105	280744	2367790
106	282822	2360379
107	284734	2351693
108	286734	2343859
109	288701	2335861
110	290792	2328957
111	292914	2322396
112	294959	2315304
113	296949	2307870
114	299060	2301469
115	301184	2295229
116	303880	2293389
117	306065	2287709
118	308087	2280886
119	310255	2275204
120	312468	2269914
121	314413	2262744
122	316491	2256611
123	318680	2251326
124	320692	2244846
125	322748	2238748
126	324615	2231414
127	326672	2225455
128	328806	2220079
129	330884	2214378
130	333097	2209631
131	335175	2204033
132	337298	2198781
133	339310	2192854
134	341566	2188555
135	343889	2184706
136	346256	2181162
137	348367	2176035
138	350523	2171228
139	352558	2165716
140	354491	2159630
141	356858	2156230
142	359181	2152575
143	361526	2149075
144	363915	2145847
145	366183	2141924
146	368583	2138789
147	370828	2134771
148	373239	2131726
149	375529	2127999
150	377718	2123728
151	379852	2119176
152	381997	2114718
153	384410	2111758
154	386566	2107410
155	388766	2103328
156	391134	2100166
157	393614	2097613
158	396059	2094880
159	398193	2090515
160	400717	2088213
161	402996	2084635
162	405435	2081898
163	407413	2076813
164	409592	2072787
165	411806	2068954
166	413931	2064697
167	416134	2060854
168	418325	2056972
169	420505	2053056
170	422722	2049337
171	425136	2046585
172	427194	2042138
173	429252	2037716
174	431435	2033911
175	433460	2029384
176	435852	2026591
177	437744	2021492
178	439858	2017449
179	442153	2014256
180	444189	2009896
181	446670	2007563
182	448595	2002746
183	450798	1999192
184	453003	1995665
185	455478	1993331
186	457799	1990324
187	460159	1987498
188	462350	1983949
189	464575	1980559
190	466956	1977841
191	468914	1973347
192	471150	1970044
193	473233	1966112
194	475580	1963295
195	477672	1959430
196	479740	1955491
197	482034	1952481
198	484416	1949836
199	486465	1945860
200	488601	1942249
201	491048	1939883
202	493073	1935858
203	495266	1932509
204	497958	1931106
205	499938	1926946
206	501840	1922511
207	503898	1918691
208	505902	1914682
209	508171	1911691
210	510318	1908250
211	513113	1907233
212	515273	1903850
213	517365	1900229
214	519323	1896134
215	521593	1893190
216	523595	1889287
217	525811	1886167
218	528358	1884236
219	530616	1881275
220	533074	1879028
221	535444	1876468
222	537449	1872636
223	539529	1869084
224	541839	1866336
225	544081	1863358
226	546162	1859838
227	548277	1856448
228	550457	1853288
229	552740	1850477
230	554897	1847256
231	557000	1843863
232	559304	1841144
233	561251	1837259
234	563687	1834981
235	566125	1832711
236	568470	1830140
237	570586	1826835
238	572912	1824212
239	575015	1820881
240	577062	1817388
241	579166	1814084
242	581302	1810888
243	583461	1807772
244	585675	1804836
245	587811	1801665
246	590135	1799077
247	592351	1796161
248	596054	1797737
249	598201	1794604
250	600281	1791278
251	602710	1788997
252	604868	1785916
253	607226	1783429
254	609328	1780195
255	611431	1776971
256	613688	1774203
257	616037	1771706
258	618340	1769073
259	620697	1766601
