iter	Passed	Remaining
0	101	101433
1	105	52413
2	108	36023
3	111	27729
4	114	22688
5	116	19239
6	117	16617
7	119	14834
8	122	13458
9	124	12345
10	126	11400
11	129	10630
12	130	9896
13	132	9348
14	135	8868
15	136	8384
16	138	7993
17	140	7677
18	141	7321
19	143	7011
20	144	6750
21	147	6551
22	149	6359
23	152	6182
24	154	6023
25	157	5917
26	162	5857
27	164	5720
28	168	5644
29	172	5576
30	175	5490
31	177	5356
32	180	5275
33	182	5195
34	185	5117
35	191	5138
36	195	5096
37	198	5017
38	200	4944
39	202	4868
40	205	4803
41	207	4736
42	210	4695
43	213	4648
44	216	4601
45	219	4548
46	221	4498
47	224	4446
48	226	4393
49	228	4332
50	230	4283
51	232	4237
52	233	4171
53	236	4150
54	238	4101
55	240	4049
56	242	4013
57	244	3963
58	245	3913
59	247	3877
60	249	3844
61	252	3814
62	254	3786
63	256	3755
64	258	3723
65	261	3696
66	263	3663
67	264	3620
68	266	3596
69	268	3571
70	271	3548
71	273	3520
72	275	3496
73	277	3472
74	280	3453
75	281	3424
76	283	3403
77	286	3382
78	289	3374
79	290	3340
80	291	3306
81	293	3290
82	296	3272
83	298	3257
84	301	3245
85	303	3227
86	306	3211
87	308	3195
88	310	3179
89	312	3163
90	313	3135
91	315	3114
92	317	3099
93	319	3079
94	321	3065
95	324	3055
96	326	3039
97	328	3020
98	330	3006
99	332	2993
100	334	2980
101	336	2960
102	338	2947
103	340	2935
104	343	2925
105	345	2910
106	346	2893
107	348	2879
108	351	2876
109	355	2874
110	358	2868
111	360	2861
112	363	2854
113	366	2849
114	369	2840
115	371	2831
116	373	2822
117	377	2817
118	380	2816
119	390	2861
120	391	2843
121	394	2841
122	400	2854
123	404	2855
124	406	2847
125	409	2843
126	414	2850
127	417	2842
128	422	2854
129	424	2840
130	426	2831
131	431	2835
132	435	2836
133	437	2824
134	439	2813
135	440	2798
136	443	2790
137	445	2780
138	446	2763
139	448	2755
140	449	2740
141	452	2731
142	454	2724
143	457	2717
144	459	2708
145	461	2699
146	463	2692
147	466	2684
148	468	2674
149	470	2667
150	473	2660
151	475	2655
152	478	2647
153	480	2639
154	482	2632
155	485	2625
156	487	2618
157	488	2604
158	491	2597
159	493	2591
160	496	2586
161	498	2579
162	501	2572
163	503	2564
164	505	2558
165	508	2552
166	510	2548
167	513	2542
168	515	2535
169	518	2529
170	520	2522
171	522	2517
172	525	2510
173	527	2502
174	529	2496
175	531	2489
176	534	2484
177	535	2471
178	536	2461
179	539	2457
180	542	2455
181	545	2452
182	554	2477
183	558	2476
184	562	2478
185	565	2474
186	569	2473
187	575	2486
188	578	2480
189	580	2474
190	582	2468
191	586	2469
192	589	2466
193	592	2461
194	594	2455
195	597	2451
196	600	2449
197	603	2443
198	605	2438
199	619	2476
200	622	2475
201	625	2471
202	630	2473
203	632	2468
204	636	2466
205	637	2458
206	640	2453
207	642	2446
208	644	2440
209	647	2436
210	650	2431
211	651	2420
212	653	2413
213	655	2408
214	658	2403
215	660	2397
216	661	2387
217	667	2395
218	671	2396
219	675	2395
220	679	2395
221	683	2393
222	686	2390
223	689	2389
224	693	2388
225	696	2385
226	700	2385
227	703	2381
228	706	2377
229	709	2374
230	713	2373
231	716	2372
232	720	2371
233	723	2369
234	728	2372
235	733	2374
236	736	2371
237	740	2371
238	743	2366
239	745	2360
240	747	2355
241	750	2349
242	753	2348
243	755	2340
244	757	2333
245	760	2329
246	765	2332
247	768	2329
248	770	2324
249	773	2321
250	776	2317
251	779	2314
252	782	2310
253	787	2311
254	789	2307
255	792	2302
256	794	2297
257	797	2292
258	799	2287
259	802	2283
260	804	2278
261	805	2270
262	806	2261
263	808	2255
264	811	2249
265	813	2243
266	815	2238
267	818	2234
268	820	2229
269	821	2222
270	823	2214
271	824	2206
272	827	2203
273	829	2197
274	832	2193
275	834	2189
276	837	2185
277	840	2181
278	842	2177
279	844	2172
280	846	2164
281	848	2160
282	851	2156
283	853	2152
284	855	2145
285	857	2141
286	860	2137
287	862	2132
288	865	2129
289	867	2125
290	869	2119
291	872	2115
292	877	2118
293	881	2116
294	884	2113
295	886	2108
296	889	2104
297	893	2105
298	896	2102
299	899	2099
300	903	2098
301	906	2095
302	909	2092
303	911	2087
304	913	2082
305	916	2078
306	925	2089
307	929	2088
308	933	2086
309	935	2082
310	937	2077
311	941	2075
312	945	2074
313	947	2070
314	955	2077
315	958	2075
316	964	2077
317	968	2077
318	971	2074
319	975	2072
320	977	2066
321	978	2060
322	980	2054
323	984	2053
324	985	2047
325	990	2047
326	993	2043
327	995	2039
328	998	2036
329	1000	2030
330	1003	2028
331	1007	2026
332	1010	2023
333	1013	2020
334	1016	2018
335	1019	2014
336	1023	2013
337	1026	2010
338	1030	2008
339	1033	2005
340	1036	2003
341	1039	2000
342	1041	1995
343	1044	1992
344	1048	1990
345	1052	1989
346	1055	1985
347	1058	1983
348	1060	1977
349	1064	1976
350	1065	1970
351	1069	1968
352	1072	1966
353	1075	1962
354	1078	1959
355	1081	1956
356	1084	1953
357	1086	1949
358	1089	1945
359	1093	1943
360	1096	1940
361	1097	1934
362	1099	1929
363	1104	1929
364	1109	1930
365	1113	1929
366	1116	1926
367	1119	1922
368	1122	1919
369	1125	1916
370	1128	1913
371	1131	1910
372	1133	1905
373	1135	1901
374	1140	1901
375	1145	1901
376	1149	1898
377	1153	1897
378	1160	1901
379	1168	1906
380	1173	1906
381	1175	1901
382	1177	1896
383	1186	1902
384	1190	1901
385	1198	1905
386	1200	1902
387	1204	1899
388	1207	1896
389	1211	1894
390	1216	1894
391	1219	1891
392	1221	1885
393	1224	1883
394	1234	1890
395	1238	1888
396	1240	1883
397	1242	1879
398	1246	1877
399	1248	1873
400	1250	1867
401	1253	1864
402	1256	1861
403	1259	1858
404	1262	1855
405	1265	1851
406	1267	1847
407	1270	1843
408	1271	1837
409	1274	1834
410	1277	1830
411	1280	1826
412	1283	1823
413	1285	1820
414	1288	1815
415	1290	1812
416	1293	1808
417	1295	1804
418	1298	1800
419	1301	1797
420	1304	1794
421	1308	1792
422	1311	1789
423	1316	1787
424	1318	1784
425	1322	1781
426	1325	1778
427	1328	1774
428	1330	1771
429	1333	1767
430	1338	1766
431	1340	1762
432	1342	1758
433	1344	1753
434	1347	1750
435	1350	1747
436	1353	1744
437	1355	1739
438	1358	1735
439	1361	1732
440	1363	1728
441	1365	1723
442	1367	1719
443	1369	1714
444	1371	1710
445	1373	1706
446	1376	1702
447	1378	1699
448	1383	1697
449	1385	1692
450	1387	1688
451	1390	1685
452	1392	1681
453	1396	1679
454	1399	1676
455	1402	1673
456	1405	1670
457	1409	1668
458	1414	1667
459	1418	1664
460	1420	1660
461	1423	1657
462	1426	1654
463	1430	1652
464	1433	1649
465	1435	1645
466	1439	1643
467	1444	1641
468	1447	1638
469	1450	1635
470	1452	1631
471	1455	1628
472	1457	1624
473	1460	1620
474	1462	1616
475	1464	1611
476	1467	1608
477	1470	1606
478	1473	1603
479	1476	1599
480	1477	1594
481	1480	1591
482	1483	1588
483	1485	1583
484	1493	1586
485	1495	1581
486	1497	1577
487	1501	1575
488	1506	1574
489	1508	1570
490	1510	1566
491	1514	1564
492	1518	1561
493	1524	1561
494	1526	1557
495	1529	1554
496	1533	1551
497	1534	1547
498	1537	1543
499	1538	1538
500	1541	1535
501	1543	1531
502	1546	1527
503	1548	1524
